id,TI,author,AB,pubdata,SO,SO_ID,PU,IS,URL,first_page,last_page,volume,issue,OA,TC,TCperYear,PY,cited_by_url,ids,DI,DT,CR,related_works,concept
https://openalex.org/W4280579356,Die Kunst des Zusammenlebens,,"",2022-05-16,,,,,https://doi.org/10.13109/9783666560507,,,,,FALSE,0,,2022,https://api.openalex.org/works?filter=cites:W4280579356,,https://doi.org/10.13109/9783666560507,monograph,,,
https://openalex.org/W4280596087,Linear time-continuous state-space realization of flame transfer functions by means of a propagation equation,,"",2022-05-16,,,,,https://zenodo.org/record/6554180,,,,,,0,,2022,https://api.openalex.org/works?filter=cites:W4280596087,,https://doi.org/10.5281/zenodo.6554180,proceedings,,,
https://openalex.org/W4280609007,Interplay of Clusters of Acoustic and Intrinsic Thermoacoustic Modes in Can-Annular Combustors,,"",2022-05-16,,,,,https://zenodo.org/record/6553746,,,,,,0,,2022,https://api.openalex.org/works?filter=cites:W4280609007,,https://doi.org/10.5281/zenodo.6553746,proceedings,,,
https://openalex.org/W4223926430,The DataLad Handbook,,"",2022-04-15,,,,,https://zenodo.org/record/6463273,,,,,FALSE,0,,2022,https://api.openalex.org/works?filter=cites:W4223926430,,https://doi.org/10.5281/zenodo.6463273,book,,,
https://openalex.org/W4224287133,Das Spießerverdikt,,"Die Verspottung von Personen und Gruppen als »Spießer« ist in der (deutschsprachigen) Lebenswelt ein weitverbreitetes Phänomen - umso erstaunlicher ist es, dass diese Alltagspraxis bisher kaum erforscht wurde. Sonja Engel und Dominik Schrage widmen sich der Analyse von Spießerschmähungen aus historisch-soziologischer Perspektive und zeichnen die Genealogie des Spießerverdikts nach, indem sie sie ins 19. Jahrhundert zurückverfolgen. Die Invektiven gegen Philister, Klein- und Spießbürger als Sozialfiguren der gesellschaftlichen Mitte erweisen sich dabei als relevante Momente der Etablierung und Veränderung von Vorstellungen sozialer Ordnung, die bis in die Gegenwart Wirkung entfalten.",2022-03-30,Kulturen der Gesellschaft,https://openalex.org/V4210203586,,,https://doi.org/10.14361/9783839455333,,,,,FALSE,0,,2022,https://api.openalex.org/works?filter=cites:W4224287133,,https://doi.org/10.14361/9783839455333,monograph,,,
https://openalex.org/W4220796113,DINI-Zertifikat für Open-Access-Publikationsdienste 2022 - Request for Comments,,"",2022-03-28,,,,,https://zenodo.org/record/6389914,,,,,FALSE,0,,2022,https://api.openalex.org/works?filter=cites:W4220796113,,https://doi.org/10.5281/zenodo.6389914,book,,,
https://openalex.org/W4220726981,QueryFS: compiling queries to define a filesystem,,"",2022-03-22,,,,,https://zenodo.org/record/6308532,,,,,FALSE,0,,2022,https://api.openalex.org/works?filter=cites:W4220726981,,https://doi.org/10.5281/zenodo.6308532,proceedings,,,
https://openalex.org/W4220653946,Die Aktualität des Unzeitgemäßen,,"",2022-03-07,,,,,https://zenodo.org/record/6328015,,,,,FALSE,0,,2022,https://api.openalex.org/works?filter=cites:W4220653946,,https://doi.org/10.5281/zenodo.6328015,proceedings,,,
https://openalex.org/W4220660707,Kategorientheoretische Ontologieentwicklung und Wissensmodellierung für die Digital Humanities,,"",2022-03-07,,,,,https://zenodo.org/record/6327995,,,,,,0,,2022,https://api.openalex.org/works?filter=cites:W4220660707,,https://doi.org/10.5281/zenodo.6327995,proceedings,,,
https://openalex.org/W4220691431,Optimiertes Peer Reviewing in den Digital Humanities,,"",2022-03-07,,,,,https://zenodo.org/record/6328003,,,,,FALSE,0,,2022,https://api.openalex.org/works?filter=cites:W4220691431,,https://doi.org/10.5281/zenodo.6328003,proceedings,,,
https://openalex.org/W4220713648,Forschendes Lernen digital,,"",2022-03-07,,,,,https://zenodo.org/record/6327933,,,,,FALSE,0,,2022,https://api.openalex.org/works?filter=cites:W4220713648,,https://doi.org/10.5281/zenodo.6327933,proceedings,,,
https://openalex.org/W4220722114,"Jung, wild, emotional? Rollen und Emotionen Jugendlicher in zeitgenössischer Fantasy-Literatur",,"",2022-03-07,,,,,https://zenodo.org/record/6327983,,,,,FALSE,0,,2022,https://api.openalex.org/works?filter=cites:W4220722114,,https://doi.org/10.5281/zenodo.6327983,proceedings,,,
